គិ	6753	2
ស្ដេ	6671	4
ង្កើ	6658	4
ល័	6587	2
ញ់	6576	2
មូ	6556	2
ផុ	6536	2
គី	6515	2
ផ្សេ	6414	4
ស្ថា	6363	4
ណ្ឌ	6335	3
ន័	6267	2
ស្លា	6237	4
មី	6184	2
ពោះ	6178	3
វៀ	6142	2
ណែ	6076	2
ល្អ	6063	3
គុ	5986	2
ខ្លះ	5949	4
តូ	5900	2
ណី	5840	2
ព្រឹ	5812	4
ស្ត្រ	5674	5
តេ	5674	2
ដិ	5628	2
លុះ	5579	3
ចាំ	5538	3
ថ្នា	5517	4
រាំ	5515	3
ណ្តា	5466	4
បោះ	5423	3
យៈ	5411	2
ម្ដេ	5409	4
ង្ស	5375	3
ម្ចា	5375	4
ផ្សា	5369	4
គ្រា	5355	4
ស្រា	5352	4
ត្ថ	5328	3
ចោ	5326	2
ន្តែ	5282	4
បេ	5238	2
ញ្ញ	5166	3
ហែ	5151	2
ពុំ	5055	3
ត្រី	5037	4
វី	5029	2
ជុំ	4993	3
គ្មា	4987	4
ចុ	4983	2
ថ្មី	4952	4
កោ	4943	2
អូ	4906	2
ពូ	4876	2
ច្នេះ	4856	5
ត្បូ	4854	4
រៈ	4829	2
ណ៌	4814	2
ឡូ	4770	2
ន្ន	4744	3
ព្រា	4705	4
រ៉ា	4643	3
ម្រើ	4623	4
ឡ	4614	1
ស័	4611	2
ហិ	4599	2
ផ្នែ	4537	4
ម៉ែ	4532	3
ក្លា	4531	4
គំ	4518	2
ចែ	4517	2
)	4511	1
រើ	4489	2
ខុ	4475	2
ដៃ	4473	2
ត្យ	4456	3
ណ្ដា	4445	4
ដេ	4435	2
“	4401	1
នៈ	4383	2
ក្រៅ	4380	4
កុំ	4378	3
ធ្លា	4348	4
ត្ដ	4339	3
ន្លែ	4316	4
ម្ប	4298	3
ន្ត្រី	4296	6
”	4292	1
ទោ	4245	2
ង្ឃ	4162	3
(	4161	1
ត្ស	4151	3
ក្រា	4113	4
រេ	4110	2
ព្យ	4106	3
ង្កា	4105	4
ថៃ	4051	2
ភេ	4050	2
ប៉ា	3997	3
ខ្ព	3986	3
កោះ	3980	3
រ្យ	3936	3
ជ្ជ	3925	3
ស្វា	3897	4
ជ្យ	3881	3
ស្តា	3870	4
ទៃ	3856	2
ម្លា	3851	4
បួ	3808	2
ញ្ជា	3792	4
វែ	3776	2
ស្គា	3760	4
រឹ	3699	2
ខ្លាំ	3671	5
យូ	3670	2
ចេះ	3616	3
ឱ	3595	1
ណិ	3594	2
គ្រឿ	3588	4
សែ	3578	2
ព្យា	3577	4
លែ	3561	2
ង្គ្រា	3561	6
ញ្ច	3552	3
តួ	3537	2
ង្ក	3529	3
នេ	3500	2
ន្តិ	3494	4
អ៊ី	3494	3
ឈ	3490	1
ផ្ទះ	3482	4
ត្ថុ	3478	4
ប្រែ	3455	4
សើ	3437	2
កេ	3435	2
ផែ	3429	2
ហ៍	3426	2
ឆ្នោ	3362	4
ហោ	3336	2
យ្យ	3312	3
ច្ចុ	3299	4
ណ្យ	3297	3
ឈើ	3272	2
ឋ	3226	1
ម្រេ	3223	4
ប្រឹ	3203	4
ទោះ	3191	3
ត្រឹ	3162	4
ក្បា	3161	4
ផ្ទៃ	3161	4
ញ៉ា	3137	3
ប្រុ	3113	4
ដៅ	3106	2
ឡុ	3093	2
ម្មា	3087	4
គូ	3086	2
ម្តេ	3073	4
យ៍	3055	2
ថ្វា	3045	4
ង្ហា	3044	4
តើ	2998	2
ហុ	2992	2
ភ្លើ	2973	4
អេ	2968	2
ម្រ	2950	3
ឡេ	2935	2
ពើ	2933	2
,	2912	1
មោ	2898	2
ស្សា	2887	4
ជ្ជា	2887	4
ឤ	2881	1
ន្មា	2873	4
ឈា	2873	2
វ៉ា	2865	3
ជ្រា	2849	4
ឫ	2843	1
ស្រែ	2832	4
ក្ខា	2824	4
ព្រំ	2812	4
ឆា	2794	2
ស្នា	2762	4
បាំ	2738	3
ន្លេ	2736	4
ក្ក	2722	3
ថ្ម	2714	3
លុ	2714	2
ត្មា	2710	4
ផ្លា	2697	4
ស្តេ	2682	4
ណ្ឌិ	2671	4
ដុ	2660	2
ស្រ័	2655	4
ច្រ	2654	3
ជេ	2645	2
រឺ	2625	2
ជូ	2596	2
ភ័	2580	2
វុ	2575	2
ណ្ណោះ	2564	5
:	2544	1
ខ្សែ	2540	4
ង្សា	2525	4
តោ	2525	2
ខ្លា	2491	4
ហ៊ុ	2472	3
បោ	2467	2
ឮ	2448	1
ស្ត	2447	3
បៀ	2446	2
ន្ល	2429	3
ឪ	2425	1
ដោះ	2413	3
ហ្វា	2391	4
គ្រូ	2388	4
វៈ	2378	2
ប្រាំ	2357	5
គ្លេ	2339	4
ផ្កា	2304	4
សុំ	2304	3
នោ	2298	2
ឌ្ឍ	2289	3
ច្នោះ	2289	5
ភោ	2288	2
ប្បា	2272	4
ណេ	2261	2
រ៉ុ	2250	3
ថេ	2219	2
ថែ	2217	2
គ្រោះ	2201	5
អឺ	2201	2
ង្គំ	2198	4
ត៌	2193	2
ឣ	2181	1
គ្រួ	2175	4
ង្គា	2168	4
ទ្វា	2148	4
ស្មើ	2131	4
ស្រ្ត	2108	5
ជ្ញា	2098	4
វ័	2096	2
ម្ព	2079	3
ប្បី	2079	4
ត្ដិ	2066	4
ឆ្ល	2061	3
ន្យ	2030	3
ឋា	2028	2
នំ	2027	2
រ៉េ	2026	3
ង្វា	2011	4
ម្លាំ	2005	5
ព្វា	1997	4
ឌី	1989	2
ត្តា	1984	4
ណ្ណ	1977	3
ណោ	1975	2
ពាំ	1974	3
ញ្ចូ	1971	4
ផ្ត	1967	3
កាំ	1958	3
ម្ងា	1957	4
ស៊ូ	1955	3
ព្រែ	1952	4
ប្រេ	1950	4
