character	level	sequence
㓧	bag	 
㓨	bag	  
㓩	bag	刂 角
㓪	bag	 艮 𠃌
㓫	bag	  刂
㓬	bag	  刂 𠃌
㓭	bag	人 刂 勹 日 𠃊
㓮	bag	⺆ 一 刂 
㓯	bag	刂 田 
㓰	bag	 刂 田
㓱	bag	 
㓲	bag	 冂  尸
㓳	bag	一 刂 日 龰
㓴	bag	  
㓵	bag	 刂 
㓶	bag	  人 刂 𠃌
㓷	bag	刂 木 自
㓸	bag	刂 𠁁
㓹	bag	 刂 
㓺	bag	 ㇀  乚 刂
㓻	bag	一 刂 止 罒
㓼	bag	丷  刂 木
㓽	bag	刂 宀 山 示
㓾	bag	 八 刂 尸 牛
㓿	bag	  刂 木
㔀	bag	  日
㔁	bag	 刂 豆
㔂	bag	㐄 丶 刂 米 𠂊
㔃	bag_ops	     
㔄	bag	  米
㔅	bag	刂 肅
㔆	bag	刂 旡 旡 日
㔇	bag	 刂 又 弓 𠘧
㔈	bag	丨  非
㔉	bag	刂 
㔊	bag	  
㔋	bag	丶 刂 皿 臣 𠂉
㔌	bag	乑 刂 又 耳
㔍	bag	 刂 
㔎	bag	㠯   凵 
㔏	bag	   刂  口
㔐	bag	 刂 非 
㔑	bag	㠯    𠃌
㔒	bag	八  口 山 隹
㔓	bag	 
㔔	bag	㇣ 
㔕	bag	 乁 
㔖	bag	 𠃍
㔗	bag	 丿 弓 𠃌
㔘	bag	  𠃌
㔙	bag	 
㔚	bag	丿  𠃌
㔛	bag_ops	 𠃌 
㔜	bag	 子 𠃌 𭕄
㔝	bag	 入 入 巾 𠃌
㔞	bag	  
㔟	bag	 九 生 𠃌
㔠	bag	 勹 日 𠃊 𠃌
㔡	bag	㐅  囗 比 𠃌
㔢	bag_ops	     ⿻
㔣	bag	 田 
㔤	bag	 宀  𠃌
㔥	bag	⺆ 丿  厶 罒 𠃌
㔦	bag	  艮 𠃌
㔧	bag	  田 
㔨	bag	 勹 月
㔩	bag	一 勹 十 厶 皿
㔪	bag	⺊ 㐅  丶  囗
㔫	bag	 𠂇
㔬	bag	
㔭	bag_ops	 日 龰  ⿺
㔮	bag	⺆  人 冫  廿
㔯	bag	匚 口 𠘧
㔰	bag	丶 匚 卜 𠂊
㔱	bag	人 匚 臼
㔲	bag	⑤  人 匚
㔳	bag	⑤  几 匚
㔴	bag	 八  田
㔵	bag	 八  巳 巳
㔶	bag	 八  夂 工 日 目
㔷	bag	 匚
㔸	bag	 几 匚 𠂆
㔹	bag	 𠃌
㔺	bag	 
㔻	ordered	一 ③ 十
㔼	bag	十 
㔽	bag	 囗
㔾	bag	㔾 ⸻
㔿	bag	一 丩 ⸻
㕀	bag	㔾 由
㕁	bag	㐅 卩 厶 𠂇
㕂	bag	 厂
㕃	bag	 厂
㕄	bag	②  厂
㕅	bag	厂 甲
㕆	bag	 口
㕇	bag	 厂
㕈	bag	 厂 𧘇
㕉	bag	 厂 
㕊	bag	 厂 月
㕋	bag	 十 
㕌	bag	一 厂 
㕍	bag	厂 隹
㕎	bag	 厂 厶 皿
㕏	bag	厂 斗 豆
㕐	bag	勹 厂 灬 臼
㕑	bag	 寸 豆
㕒	bag	 厂 我
㕓	bag	⑧  厂 灬
㕔	bag	  厂  耳
㕕	bag_ops	厶 厶 ⿱
㕖	bag	厶 厶 
㕗	bag	 久 十 厶
㕘	bag	人 厶 厶 厶 小
㕙	bag	  𠂊
㕚	bag	 又
㕛	bag_ops	 ⿱
㕜	bag	 
㕝	bag_ops	 口 
㕞	bag	又 尸 巾
㕟	bag	⺊ 丨  又
㕠	bag	冫 又 隹
㕡	bag	 冂 又 谷
㕢	bag	  又 目
㕣	ordered	八 
㕤	bag_ops	九 口 ⿰
㕥	bag	人 
㕦	ordered	口 
㕧	bag	口 
㕨	bag	丶 几 
㕩	bag	 
㕪	bag	冘 口
㕫	bag	  ⸻
㕬	bag	八 
㕭	bag_ops	  
㕮	bag	 
㕯	bag_ops	 ⿵ ⿻
㕰	bag	 
㕱	bag	 
㕲	bag_ops	 ⿰
㕳	bag	 口
㕴	bag	 口
㕵	bag_ops	 
㕶	bag_ops	 𫝀 
㕷	bag	口 
㕸	bag_ops	 
㕹	bag	丶 又 
㕺	full	   ㇉
㕻	bag	③  
㕼	bag	㐅  𠃊
㕽	bag	以 口
㕾	bag	 小
㕿	bag_ops	丿  
㖀	bag	 
㖁	bag	㐅 厶 
㖂	bag	口 曳 ⸻
㖃	bag	 𠂆
㖄	bag	口 州
㖅	bag_ops	 戊 ⿰ ⿵
㖆	bag	口 曲
㖇	bag	 
㖈	atomic_override	㖈
㖉	bag	人 
㖊	bag	口 寸 彐
㖋	ordered	人 丿  乚 丿
㖌	bag	 九 
㖍	bag	 斗
㖎	ordered	口 乚  丿 丨
㖏	bag	 日
㖐	bag	  
㖑	bag	  
㖒	bag	 
㖓	bag	 
㖔	bag	 
㖕	bag_ops	  
㖖	bag_ops	   
㖗	ordered	口 山 人 丶 ㇇
㖘	bag_ops	 口 𠄌 ⿰  ⿺
㖙	bag	丿  
㖚	bag	 口 寸
㖛	bag	 
㖜	bag	  口
㖝	bag	 未
㖞	bag	 
㖟	bag	 口 𭕄
㖠	bag	 示
㖡	bag_ops	  ⿰  ⿴
㖢	bag	 广 止
㖣	bag	 
㖤	bag	丷  八 凵 口
㖥	bag	 
㖦	bag	口 東
㖧	bag	 氏
㖨	bag	丷 亅  
㖩	bag	又 口 耳
㖪	bag	  
㖫	bag	  
㖬	bag	又 口 臼
㖭	bag	 人 
㖮	bag	  
㖯	ordered	冂  乚 丿
㖰	ordered	口 乚  
㖱	bag_ops	   ⿴
㖲	bag	 
㖳	bag	 女 氵
㖴	bag	 丿 勹 
㖵	bag	 
㖶	bag	  
㖷	bag	 日 龰
㖸	bag	  匚 口
㖹	bag	 口 
㖺	bag	  
㖻	bag	  龴
㖼	bag	 甘
㖽	bag	口 頁 ⸻
㖾	bag	 
㖿	bag	口 
㗀	bag	②   山
㗁	bag	 
㗂	bag	丿  目
㗃	bag	 民
㗄	bag	 口 罒 𠃌
㗅	bag	 
㗆	bag	口 革
㗇	bag	⑤ 又 口 
㗈	bag	  龴 𠃌
㗉	bag	  𠃌
㗊	bag	 
㗋	bag	 厂  𠂊
㗌	bag	 
㗍	bag	 
㗎	bag	丿  木 𠃌
㗏	bag	③  
㗐	bag	  皿
㗑	bag	 口 龵
㗒	bag	  𧘇
㗓	bag	㠯  辶
㗔	bag	 ㇀  乚 口
㗕	bag	 冉 口
㗖	bag	 臼 𭕄
㗗	bag	丿  白 𠃌
㗘	bag	丶  寸 月
㗙	bag	丨  勹 
㗚	bag	  木
㗛	bag	  口 
㗜	bag	 
㗝	bag	  灬
㗞	bag	  皮
㗟	bag	  氵
㗠	bag	 口 
㗡	bag	   𠄎
㗢	bag	 重 𠃌
㗣	bag	⑤  
㗤	bag_ops	⺊  小 戊 
㗥	bag	  子 阝
㗦	bag	卩 口 耳 𠂎
㗧	bag	  厶 
㗨	bag	 又  𠘧
㗩	bag	冫  白 
㗪	bag	  小 止
㗫	bag	②  
㗬	bag	⺌   
㗭	bag	 心 米
㗮	bag	  广 
㗯	bag_ops	  ⿰ 
㗰	bag	 口 彳 龰
㗱	bag	 隹
㗲	bag	  
㗳	bag	 人  
㗴	bag	口 月 𠁣 𠃛
㗵	bag	  欠
㗶	bag	 又  𠘧
㗷	bag	  贝
㗸	bag	 口 彳 缶
㗹	bag	口 心 隹
㗺	bag	 非
㗻	bag	冂 冂  辶 𠃍
㗼	bag	 口 未
㗽	bag	 乡 口 阝
㗾	bag	 口 革
㗿	bag	  𠁣 𠃛
㘀	bag	口 米 臼
㘁	bag	  干 罒
㘂	bag	②   心
㘃	bag	 口 心 𠂇
㘄	bag	  罒 𠃌
㘅	bag	  亅 人  彳
㘆	bag	  十 厶 
㘇	bag	 冖 
㘈	bag	  
㘉	bag	⑤  卩 口 
㘊	bag	 口 言
㘋	bag	八 又 口 目 臣
㘌	bag	   𧰨
㘍	bag	  小 隹
㘎	bag	乛 口 攵 
㘏	bag	  自 辶
㘐	bag	⑥   灬
㘑	bag	 示 隶
㘒	bag	丿  重
㘓	bag	口 柬 𠁣 𠃛
㘔	bag	 八  宀 目
㘕	bag	  皿 臣 𠂉
㘖	bag	 口 彡 頁
㘗	bag	口 目 目 隹
㘘	bag	②  丶  小 言
㘙	bag	乛 厂  口 攵 耳
㘚	bag	乛 口 攵 耳 𠁣 𠃛
㘛	bag	⑦  人  月
㘜	bag	口 言 隹 隹
㘝	bag	又 囗
㘞	bag	丿 囗 𠃌
㘟	bag	 囗
㘠	bag	丿 囗 心
㘡	bag	囗 甲
㘢	bag	 囗
㘣	bag	 月
㘤	bag	一 囗 氵 爿 片
㘥	bag	  囗 小 缶 𭕄
㘦	bag	 𠃌
㘧	bag	一  十 龴
㘨	bag	 
㘩	bag_ops	 比 
㘪	bag_ops	  十  ⿻
㘫	bag_ops	 十 
㘬	bag	一 勹 十 
㘭	bag	②  𠃌
㘮	bag	 尺
㘯	bag	 
㘰	bag	 斗
㘱	bag	一 冉 十
㘲	bag	一 九 十 尸
㘳	bag	 
㘴	bag_ops	  
㘵	bag	 
㘶	bag	㐄  𠂊
㘷	bag	 十
㘸	bag	 十 𠂊
㘹	bag	 十 止
㘺	bag_ops	  ⿰  
㘻	bag	 囗
㘼	bag	㇉  耂
㘽	atomic_override	㘽
㘾	bag	一 于 十 宀
㘿	ordered	 
㙀	bag	一 九  宀
㙁	bag	 
㙂	bag	  
㙃	bag	一 丘 
㙄	bag	 比
㙅	ordered	十  木
㙆	bag	 宀 𠂇
㙇	bag	 𧰨
㙈	bag	  几 
㙉	bag	⑥ 一 
㙊	bag	  𠄌
㙋	bag_ops	 
㙌	bag	 肃
㙍	bag	  又 
㙎	bag	 女 戊
㙏	bag	 
㙐	bag	   山
㙑	bag_ops	 禹 
㙒	bag	一  十 田 龴
㙓	bag	  十
㙔	bag	㐄  𫝀
㙕	bag	 
㙖	bag_ops	 禹 
㙗	bag	  田 𠄌
㙘	bag	  女
㙙	bag_ops	 尢 彡 氵  ⿷ ⿺
㙚	bag	  牛
㙛	bag	 
㙜	bag_ops	 冂   ⿳ ⿵
㙝	bag	  十 月  𠃌
㙞	bag	 木 自
㙟	bag_ops	⑤   
㙠	bag	 匚  𠂉 𠘧
㙡	bag	 彳 龰
㙢	bag	一 入 入 十 巾 廿
㙣	bag	  弓 𠄌
㙤	bag	 ㇀ 一 乎 乚 十
㙥	bag	 八  𧘇
㙦	bag	 斗 朩
㙧	bag	一 丣 十 田
㙨	bag	    
㙩	bag	 十 小 日
㙪	bag	  十 豆
㙫	bag	 木 隹
㙬	bag	 木 犬
㙭	bag	 凵  欠
㙮	bag	   
㙯	bag	  九  厶
㙰	bag	 
㙱	bag	 ㇀  乚 几 
㙲	bag_ops	 乡 十  
