character	level	sequence
厯	bag	 乚 厂 
厰	bag	⺌ 冂 厂 口 攵
厱	bag	  厂 
厲	bag	 厂 禺 ⸻
厳	bag	乛 厂 攵 耳 𭕄
厴	bag	 厂 月 犬 甲
厵	bag	厂 厂  小 小 白 白 白
厶	bag	
厷	bag	厶 𠂇
厸	bag_ops	厶 厶 ⿰
厹	bag	九 厶
厺	bag	 
去	bag	
厼	bag	厶 
厽	bag	厶 厶 
厾	bag	⺄ 
县	bag	
叀	bag	 由
叁	bag	 厶
参	bag	
參	bag	人 厶 厶 厶 
叄	bag	 厶 厶 厶
叅	bag	 厶 厶 厶 
叆	bag	  又 
叇	bag	 辶 隶
又	bag	
叉	bag	丶 
及	bag	
友	bag	
双	bag_ops	
反	bag	
収	bag	丩 又
叏	bag	 
叐	bag	丿 
发	bag	
叒	bag	 
叓	bag	 又 口
叔	bag	 
叕	bag	 又 
取	bag	
受	bag	
变	bag	
叙	bag	 又 
叚	bag	⑤ 
叛	bag	 
叜	bag	 又 
叝	bag	 厶 又
叞	bag	又 尸 示
叟	bag	 臼 ⸻
叠	bag	且 冖  又
叡	bag	⺊   又 目
叢	bag	④  又 干 耳
口	bag	
古	bag_ops	
句	bag	
另	bag_ops	
叧	ordered	 丿
叨	bag_ops	 ⿰ ⿹
叩	bag	
只	ordered	
叫	bag	
召	ordered	
叭	bag_ops	 ⿰
叮	bag_ops	 
可	bag_ops	
台	bag	
叱	bag_ops	 ⿰ ⿻
史	bag	
右	bag	
叴	bag_ops	九 口 ⿱
叵	bag	匚 
叶	bag_ops	
号	bag	
司	bag	
叹	bag	
叺	bag	入 口
叻	ordered	口 
叼	bag	㇀ 
叽	bag	几 
叾	bag	 口
叿	bag	口 
吀	bag_ops	 
吁	bag	于 
吂	bag	 𠃊
吃	bag	
各	bag	
吅	bag_ops	 ⿰
吆	bag	 
吇	bag	口 
合	bag_ops	
吉	bag_ops	
吊	bag	口 
吋	bag	口 
同	bag	
名	bag	
后	bag	
吏	bag	一 
吐	bag_ops	 
向	bag	
吒	bag	 
吓	bag	 口
吔	bag	也 口
吕	bag_ops	 ⿱
吖	bag	丨 
吗	bag	
吘	bag	 𠂉
吙	bag	 
吚	bag_ops	 ⿰ 
君	bag_ops	
吜	bag	丑 口
吝	bag_ops	 口 
吞	ordered	 
吟	bag_ops	 
吠	bag	口 
吡	bag	口 
吢	bag_ops	口 心 ⿱
吣	bag_ops	口 心 ⿰
吤	bag	 口
吥	bag_ops	 
否	bag_ops	
吧	bag_ops	
吨	bag	 
吩	bag	 
吪	bag_ops	 口  ⿻
含	bag_ops	
听	bag	
吭	bag	 
吮	bag	 
启	bag	
吰	bag	厶 
吱	bag_ops	 口 
吲	bag	丨 
吳	bag	 𠃑
吴	ordered	
吵	bag	丿  ⸻
吶	bag	入 
吷	bag	 𠃍
吸	bag	
吹	bag	口 欠
吺	bag	又 口 𠘧
吻	bag	 
吼	bag	乚 
吽	bag_ops	口 牛 ⿰
吾	bag_ops	 𫝀 
吿	bag_ops	口 牛 ⿱
呀	bag	
呁	bag	冫 
呂	bag	丿 
呃	bag	 
呄	bag	 𠄎
呅	bag_ops	 口 
呆	ordered	
呇	bag	 
呈	bag_ops	 
呉	bag	一  𠃑
告	bag	
呋	bag_ops	 
呌	bag	口 
呍	bag	 口
呎	bag	口 尺
呏	bag	 
呐	bag_ops	 ⿰ ⿻
呑	bag_ops	  
呒	bag	 尢
呓	bag	 
呔	bag	 
呕	bag	 口
呖	bag	丿 厂 
呗	bag_ops	 ⿰
员	bag_ops	
呙	bag_ops	 
呚	bag	口 攵
呛	bag	 
呜	bag_ops	 ⿰ ⿹
呝	bag	丶 乙 口 尸
呞	bag	 
呟	bag	 
呠	bag	口 本
呡	bag	口 民
呢	bag	
呣	bag	口 
呤	bag	 口 龴
呥	bag	冉 口
呦	bag	 
呧	bag	 氏
周	bag	
呩	bag	口 示
呪	bag	 
呫	bag	 
呬	bag	 囗
呭	bag	世 
呮	bag	八 
呯	bag	 干
呰	bag_ops	  ⿺
呱	bag	口 瓜
呲	bag_ops	  ⿺
味	bag	
呴	bag	勹 
呵	bag	 
呶	bag	又 
呷	bag	口 甲
呸	bag	③  
呹	bag	 
呺	full	⿰ 口 ⿱ 口  ㇉
呻	bag	口 申
呼	bag	
命	bag	
呾	bag	 
呿	ordered	口 十 
咀	bag	且 
咁	bag	口 甘
咂	bag	匚 口 巾
咃	bag	也 
咄	bag	 
咅	bag_ops	 
咆	bag	 ⸻
咇	bag	 
咈	bag	 
咉	bag	口 央
咊	ordered	口 
咋	bag	乍 
和	ordered	
咍	bag	厶 
咎	bag	卜 
咏	bag	口 永
咐	bag	 
咑	bag_ops	 扌 ⿰ 
咒	bag	几 
咓	bag	口 瓦
咔	bag	⺊  口
咕	bag	 
咖	bag	丿  𠃌
咗	bag	口 
咘	bag	口 
咙	bag	 口 尢
咚	bag	 
咛	bag	 
咜	bag	 
咝	bag	 
咞	bag	 
咟	bag	 白
咠	bag_ops	口 耳 ⿱
咡	bag_ops	口 耳 ⿰
咢	bag	 
咣	bag	⺌ 
咤	bag	㇀  宀
咥	ordered	口 
咦	bag_ops	  
咧	bag	 
咨	bag	 
咩	bag	 
咪	bag	口 
咫	bag	 尺
咬	bag	 
咭	bag	 
咮	bag	口 
咯	bag	 
咰	ordered	口 勹 日
咱	bag	
咲	bag	 
咳	bag	 口 𠃋
咴	bag	 
咵	bag	㇉  
咶	bag	 
咷	bag	兆 
咸	bag_ops	 戊 ⿵ ⿵
咹	bag	 宀
咺	bag	 
咻	bag_ops	 
咼	bag	冂  𠃍
咽	bag	 
咾	bag_ops	 耂 ⿰ ⿸ ⿺
咿	bag_ops	 口   
哀	bag	 
品	bag	
哂	bag	 
哃	bag	 
哄	bag	 
哅	bag	 
哆	bag	 口 
哇	bag	 
哈	bag	
哉	bag	 
哊	bag	口 
哋	bag	 
哌	bag	④ 口 𠂆
响	bag	
哎	bag	 
哏	bag	口 艮
哐	bag	 匚 
哑	bag	 
哒	bag_ops	 辶 ⿰ 
哓	bag	 
哔	bag	 比
哕	bag	 山 𠂊
哖	bag	口 年
哗	bag	 
哘	bag	 口 
哙	bag	 口
哚	bag	 
哛	ordered	口 乚  丿
哜	bag	 
哝	bag	 𧘇
哞	bag	 牛
哟	bag	 口 纟
哠	bag	 𠂒
員	bag_ops	 
哢	bag	 
哣	bag	口 豆
哤	bag	 尢 彡
哥	bag	
哦	bag	口 我
哧	bag_ops	④  
哨	bag	⺌ 口 
哩	bag	 口 甲
哪	bag	
哫	bag	 龰
哬	bag	 亻 
哭	bag	
哮	bag	 耂
哯	ordered	口 目 
哰	bag	 牛
哱	bag	冖  子
哲	bag_ops	
哳	bag_ops	  
哴	bag	 艮
哵	bag	  𠃌
哶	bag	口 干 艹
哷	bag	 寸 𭕄
哸	bag	丿  𭕄
哹	bag	 
哺	bag	丶  月
哻	bag	口 干 日
哼	bag	  
哽	bag	 
哾	bag	 口
哿	bag	 亅  𠃌
唀	bag	  𠄎
唁	bag	口 
唂	bag	口 谷
唃	bag	口 
唄	bag_ops	 目 
唅	bag	 
唆	bag	 
唇	bag_ops	 口 𠄌  ⿸ ⿺
唈	bag	 
唉	bag	 
唊	bag	  
唋	bag	 
唌	bag	 口 廴
唍	bag	  宀
唎	bag	 
唏	bag	㐅 口 
唐	bag	
唑	bag	 
唒	bag	口 酉 ⸻
唓	bag_ops	口 車 ⿰
唔	bag	 𫝀
唕	bag	 白
唖	bag	亜 口
唗	bag	 龰 ⸻
唘	bag	 又 
唙	bag	 口 犭
唚	bag	 又 口 
唛	bag	 龶
唜	bag	 末
唝	bag	口 工 贝
唞	bag	 斗
唟	bag	 十 
唠	bag	 冖  𠃌
唡	bag	 
唢	bag	⺌ 
唣	bag	 口 白
唤	bag	 
唥	bag	  龴
唦	bag	丿  氵
唧	bag	⑤ 卩 口
唨	bag	且 口 阝
唩	bag	丿  
唪	bag	 人 
唫	ordered	口 人  
唬	bag	 几 
唭	bag	 
售	bag_ops	
唯	bag_ops	
唰	bag	 尸 巾
唱	bag	
唲	bag	 臼
唳	bag	 尸 犬
唴	bag	 乚 口
唵	bag	 
唶	bag	  
唷	bag	 口 月
唸	bag	 
唹	bag	  人 
唺	bag	⑥ 八 
唻	bag	 
唼	ordered	口  
唽	bag	  𠂆
唾	bag	⑥ 
唿	bag	 口 心
啀	bag	 厂 
啁	bag	 
啂	bag	 
啃	full	⿰ 口 ⿱ 止 月
啄	bag	 𧰨
啅	bag	⺊  
商	bag	
啇	bag	  
啈	bag	  
啉	bag	 
啊	bag	
啋	bag	丿  𭕄
啌	bag	 宀 工
啍	bag	  
啎	bag	 𠂉 𫝀
問	bag	口 𠁣 𠃛
啐	bag	 
啑	bag	口 疌
啒	bag	 口 
啓	bag_ops	 尸 攵 
啔	bag	  尸
啕	bag	 缶
啖	bag	 
啗	bag	 臼 ⸻
啘	bag	㔾  宀 𠂊
啙	bag	 
啚	bag	 
啛	bag	  
啜	bag	  
啝	bag_ops	丿   
啞	bag	⑥  
啟	bag_ops	 尸 攵 ⿰ 
啠	bag	  𠂆 𠂆
啡	bag	口 
啢	bag	一 入 入 口 
啣	bag	 
啤	bag	 白
啥	bag	 
啦	bag_ops	
啧	bag	 龶
啨	bag	口 
啩	bag	 卜 口
啪	bag	 白
啫	bag	口 
啬	bag	 
啭	bag	专 口 车
啮	bag	口 齿 ⸻
啯	bag	 
啰	bag	 罒 𠂊
啱	bag	  山
啲	bag	 口 白
啳	bag	 
啴	bag	 口 甲
啵	bag	 皮
啶	bag	 龰
啷	bag	 口 阝
啸	bag	口 肃
啹	bag	 
啺	bag	 丿  
啻	bag_ops	  巾  
啼	bag_ops	  巾 
啽	bag	 人 
啾	bag	丿  
啿	bag	⑤  匚 
喀	bag	 宀
喁	bag	口 禺
喂	bag	  𠄌
喃	bag	丷  干
善	bag	
喅	ordered	  一
喆	bag	 
喇	bag	 束
喈	bag	口 比 白
喉	bag	  
喊	bag	
喋	bag	世 
喌	bag	 州
喍	bag	 
喎	bag	冂 冂  𠃍
喏	bag	 
喐	bag	口 月 
喑	ordered	口 
喒	bag_ops	卜  日  ⿺
喓	bag	 
喔	bag	 口 
喕	bag	 
喖	bag	 
喗	bag	 車
喘	bag	  
喙	bag	口 彑 𧰨
喚	bag	  
喛	bag	 又 口 
喜	bag	
喝	bag	
喞	bag	 卩 口 白
喟	bag	口 
喠	bag	口 重
喡	bag	㐄  𫝀
喢	bag	 臼
喣	bag	勹  灬
喤	bag	 白
喥	bag	又 口 
喦	atomic_override	喦
喧	bag	  日
喨	bag	 
喩	bag	 月 
喪	bag	  𠄌
喫	bag	  人 
喬	bag	 
喭	bag	 口 
單	bag	 
喯	bag	 人 
喰	bag	 口 艮
喱	bag	 厂 口 甲
喲	bag	 丶  口
喳	bag	 
喴	ordered	口 戊 
喵	bag	 田
営	bag	冖  𭕄
喷	bag	  贝
喸	bag	  月
喹	bag	  
喺	bag	  
喻	bag	  
喼	bag	口 
喽	bag	 米
喾	bag	 𠂒 𭕄
喿	bag_ops	  
嗀	bag	  又 口 𠘧
嗁	bag	  𠂆
嗂	bag	 缶 𭕄
嗃	bag	 
嗄	bag	 夂 自
嗅	bag	口 犬 自
嗆	bag	  
嗇	bag	 人 
嗈	bag	 巴 
嗉	bag	  龶
嗊	bag	 工 目
嗋	bag	  月  𠃌
嗌	bag	  皿
嗍	bag	 口 月
嗎	atomic_override	嗎
嗏	bag	丨 人  朩
嗐	bag	 
嗑	bag	 口 皿
嗒	bag	 
嗓	bag	 又 
嗔	bag	 
嗕	bag	 口 寸 𠄌
嗖	bag	 口 臼
嗗	bag	⑤ 口 月
嗘	bag	②  口 𭕄
嗙	bag	 
嗚	full	⿰ 口 ⿹ ⑥ 灬
嗛	bag	 口 
嗜	bag_ops	  ⿰ 
嗝	bag	  冂 
嗞	bag	 
嗟	bag	 口 
嗠	bag	丿  
嗡	bag	八  厶  𠃌
嗢	bag	 皿
嗣	bag	  
嗤	bag	 凵 口 虫
嗥	bag	  白
嗦	bag	 冖  小
嗧	bag	   𠃌
嗨	bag	口 
嗩	bag	八  目
嗪	bag	 
嗫	bag	 口 耳
嗬	bag	 亻 
嗭	bag	  
嗮	bag	 
嗯	bag	 囗 心
嗰	bag	亻  囗
嗱	bag	  手
嗲	bag	   
嗳	bag	 口 
嗴	bag	 乚 
嗵	bag	 口 
嗶	bag	⑨ 一 
嗷	bag_ops	 攵 龶  ⿰ 
嗸	bag_ops	 攵 龶  
嗹	bag	口 車 辶
嗺	ordered	口 山 隹
嗻	bag	口  灬
嗼	bag	  日
嗽	bag	口 束 欠
嗾	bag	  
嗿	bag	  目
嘀	bag	 
嘁	bag_ops	⺊  小 戊  ⿵
嘂	bag	丩  
嘃	bag_ops	 广 月  ⿰  ⿻
嘄	bag	⑦ 
嘅	bag	⑤ 口 旡
嘆	bag	  廿
嘇	bag	人 厶 厶  彡
嘈	bag	 日 
嘉	bag	 豆 𠃌
嘊	bag	 厂 口 山
嘋	bag	口 
嘌	bag	  示
嘍	bag	⑧ 
嘎	bag	  自
嘏	bag	⑤  口 
嘐	bag	人 冫  彡 
嘑	bag	 ㇀ 乎 乚 
嘒	bag	   
嘓	bag	  
嘔	bag	匚  
嘕	bag	②  止 灬
嘖	bag	 
嘗	bag	⺌   
嘘	bag	 口
嘙	bag	 
嘚	bag	 
嘛	bag	口 
嘜	bag	  木
嘝	bag	口 斗 角
嘞	bag_ops	 革  ⿰ ⿻
嘟	bag	 耂 阝
嘠	bag	⑧  
嘡	bag	⺌   
嘢	bag	 口 
嘣	bag	口 山 
嘤	bag	 贝 贝
嘥	bag	口 彳 止 龰
嘦	bag	  
嘧	bag	 宀 山 心
嘨	bag	口 粛
嘩	bag	⑦  
嘪	bag	 目 罒
嘫	bag	 
嘬	bag	又  耳
嘭	bag	 彡 豆
嘮	bag	丿   𠃌
嘯	bag	口 肅
嘰	bag	②   
嘱	bag	口 
嘲	bag	十  
嘳	bag	 八  目
嘴	bag	
嘵	bag	   
嘶	bag	  𠂆
嘷	bag	丷 八  自
嘸	bag	一 卌 口 灬 𠂉
嘹	bag	 人  
嘺	bag	 
嘻	bag	 豆
嘼	bag	  田
嘽	bag	  甲
嘾	bag	  
嘿	bag	⑧ 口 灬
噀	bag	 八  巳 巳 ⸻
噁	bag	⑥  口 心
噂	bag	 寸 酉
噃	bag	 
噄	bag	②    𠃌
噅	bag_ops	口 爲 ⿰
噆	bag	口 旡 旡 日
噇	bag	  甲
噈	bag	 口  
噉	bag	乛 口 攵 
噊	bag	   龴
噋	bag	  子 
噌	bag	⺌  囗 
噍	bag	口 灬 隹
噎	bag	 
噏	bag	   
噐	bag	  工
噑	bag	丷 八  白
噒	bag	㐄  米 𠂊
噓	bag	② ⑥ ⺊  口
噔	bag	 口 豆
噕	bag_ops	口 爲 ⿱
噖	bag	㇇   
噗	bag	  
噘	bag	 厂 口 
噙	bag	  凵 
噚	bag	 寸 工 彐
噛	bag	凵  米
噜	bag	 日 
噝	bag	②    ⸻
噞	bag	   口
噟	bag	 广 隹
噠	bag	  辶
噡	bag	 厂 口 言 𠂊
噢	bag	 口 米
噣	bag	 罒 虫
噤	bag	 
噥	bag	 口 曲 𠄌
噦	bag	 戊 
噧	bag	 禺 ⸻
器	bag	
噩	bag	  口 
噪	bag	  
噫	bag	 心 日
噬	bag	  口 工 
噭	bag	 口 攵 白 𠃌
噮	bag	 罒 𧘇
噯	bag	  心 𭕄
噰	bag	 乡 
噱	bag	  口 𧰨
噲	bag	⺌  
噳	bag	 ㇀  乚 人 
噴	bag	 八  目
噵	bag	  辶
噶	bag	丨   日 𠃊
噷	bag	  欠
噸	bag	 口 頁
噹	bag	⺌ 冖  田
噺	bag	 口 
噻	bag	 八  宀
噼	bag	  
噽	bag	③  
噾	bag	  宀 日
噿	bag	   
嚀	bag	 宀 心 皿
嚁	bag	冫  隹 
嚂	bag	 皿 臣 𠂉
嚃	bag	⑤ 口 罒 辶
嚄	bag	 又 
嚅	bag	 冂 
嚆	bag	  
嚇	bag	  
嚈	bag	 厂 口 月 犬
嚉	bag	  寸
嚊	bag	  自
嚋	bag	 乛  寸 
嚌	bag	③   
嚍	bag	 口 灬 皿 
嚎	bag	 冖  𧰨
嚏	bag	冖  田 疋
嚐	bag	  日
嚑	bag	口 熏
嚒	bag	 口 
嚓	bag	②  
嚔	bag	  田 龰
嚕	bag	 灬 
嚖	bag	   
嚗	bag	 八  日
嚘	bag	⑧  心
嚙	bag	  人 凵 口 
嚚	bag	  臣
嚛	bag	②  丶  白
嚜	ordered	口 ⑧ 灬 
嚝	bag	 八  广 由
嚞	bag	  十  
嚟	bag	丷   勹 
嚠	bag	③   刂  𠃌
嚡	bag	  革
嚢	bag	 井 八  𧘇
嚣	bag	  页
嚤	bag	口 
嚥	bag	③  口 廿 灬
嚦	bag	 厂  木 止
嚧	bag	  皿
嚨	bag	⑦  
嚩	bag	   寸 月
嚪	bag	 臼 𠁣 𠃛
嚫	bag	  朩 目
嚬	bag	 頁 𣥂
嚭	bag	  豆
嚮	bag	⑤  乡  阝
嚯	bag	 
嚰	bag	  
嚱	bag	 ㇀  乚 口 豆
嚲	bag	   甲
嚳	bag	③ 㐅   彐 𠂒
嚴	bag	乛 厂  攵 
嚵	bag	  比 
嚶	bag	八 八  目 目
嚷	bag	 井  
嚸	bag	⑧ ⺊  灬
嚹	bag	 ㇀ 乎 乚 口 缶
嚺	bag	 口 罒 
嚻	bag_ops	  頁  ⿲
嚼	bag	⑤  寸 罒 𭕄
嚽	bag	 口 攵  𠃌
嚾	bag	  隹
嚿	bag	 臼 隹
囀	bag	⑧ 口 寸 車
囁	bag	口 耳 耳 耳
囂	bag_ops	  頁  ⿳
囃	bag	  隹
囄	bag	 厶 
囅	bag	   尸 甲 𠄌
囆	bag	 禺 虫
囇	bag	 丨 冂  广 比 
囈	bag	  九  十 
囉	bag	  罒 隹
囊	bag	 井 冖  
囋	bag	  目 
囌	bag	  灬 
囍	bag	十  豆 豆
囎	bag	   目
囏	bag	  廿 豆
囐	bag	 ㇀   乚 冂 
囑	bag	 八  尸 罒 虫
囒	bag	 柬 𠁣 𠃛
囓	bag	    凵  𠃌
囔	bag	 井 冖   𧘇
囕	bag	 目 罒 臣 𠂉
囖	bag	  口 罒 隹 
囗	bag	
囘	bag	冂 巳
囙	bag	囗 
囚	bag	人 
四	bag	
囜	bag	厶 囗
囝	bag	囗 子
回	bag	
囟	bag	㐅 丿 
因	bag	
囡	bag	囗 女
团	bag	
団	bag	囗 寸
囤	bag	 囗
囥	bag	 囗
囦	bag	 囗
囧	bag	 冂 
囨	bag	 囗
囩	bag	 囗
囪	bag	丶  丿 囗
囫	bag	 囗
囬	bag	④ 
园	bag	
囮	bag_ops	 囗 ⿰ ⿴ ⿻
囯	bag	 囗
困	bag	
囱	bag	丿 囗 
囲	bag	井 囗
図	bag	  囗
围	bag	
囵	bag	 囗
囶	bag	一  囗
囷	bag	丿 
囸	bag	一 囗 止
囹	bag	 囗 龴
固	bag	
囻	bag	囗 民
囼	bag	厶 
国	bag	
图	bag	
囿	bag	囗 
圀	bag	 八 囗 𠃌
圁	bag	囗 言
圂	bag	一 囗 𧰨
圃	bag	 囗 月
圄	bag	 囗 𫝀
圅	bag	丷 囗 干 龴
圆	bag	
圇	bag	  囗
圈	bag	
圉	bag	 囗 
圊	bag	囗 
國	bag	  
圌	bag	 囗 山
圍	bag	㐄  𫝀
圎	bag	 囗 目
圏	bag	 囗 己
圐	bag	 囗 罒 𠃌
圑	bag	 囗 寸 月
園	bag	 囗 𧘇
圓	bag	 囗 目
圔	bag	 囗 皿
圕	bag	  
圖	bag	 囗 囗
圗	bag	④ 十 厶 囗 囗
團	bag	⑧ 囗 
圙	bag	 八 囗 囗
圚	bag	  囗 目
圛	bag	 囗 干 罒
圜	bag	 囗 罒 𧘇
圝	bag	②  丶 囗 小 小 言
圞	bag	②  丶 囗 小 小 木 言
土	full	
圠	bag	 
圡	bag	 
圢	bag	 
圣	bag	
圤	bag	 
圥	bag	 
圦	bag	一 入 十
圧	bag	 
在	bag_ops	
圩	bag	一 于 
圪	bag	一 乙 
圫	bag	㇀  
圬	bag	  ⸻
圭	bag	
圮	bag	 己
圯	bag	 ⸻
地	bag	
圱	ordered	 
圲	ordered	十 
圳	bag	 川
圴	bag	 勹 十
圵	bag	⺊ 
圶	bag_ops	 
圷	ordered	十  卜
圸	bag	 
圹	bag_ops	 
场	bag	
圻	bag	 十 𠂆
圼	bag	 
圽	bag	 丿 勹 
圾	bag	 及
圿	bag_ops	  ⿰ 
址	bag	 
坁	bag	 
坂	bag	 
坃	bag_ops	  十 
坄	bag	 
坅	bag	㇇  
坆	bag	 攵
均	bag	
坈	bag_ops	  
坉	bag	 凵 十
坊	bag	  𠃌
坋	bag_ops	  
坌	bag_ops	   
坍	bag	一 丹 十
坎	bag	 ⸻
坏	bag_ops	
坐	bag	
坑	bag	 
坒	bag_ops	 比 
坓	bag_ops	 十 
坔	bag	㇇  亅 
坕	bag	 爪
坖	bag_ops	  十 
块	bag	
坘	bag	 
坙	bag	 
坚	bag	
坛	bag	 
坜	bag	 
坝	bag	 贝
坞	bag_ops	 ⿰ 
坟	bag	 
坠	bag	 阝
坡	bag	 皮
坢	bag	 十
坣	bag	⺌  
坤	bag	 申
坥	bag_ops	 
坦	ordered	
坧	bag	 
坨	bag	 十 宀
坩	bag	 甘
坪	bag_ops	 
坫	bag	⺊  
坬	bag	 瓜
坭	bag	 十 
坮	ordered	十  口
坯	ordered	十  
坰	bag	 
坱	bag	 央
坲	bag	 十 
坳	bag	②  
坴	bag	 
坵	bag	一 丘 十
坶	bag	 
坷	bag	 
坸	bag	一 勹 
坹	bag	一 
坺	bag	 
坻	bag	 
坼	bag	  𠂆
坽	bag	  龴
坾	bag	 十 宀
坿	bag_ops	  ⿰ 
垀	bag	一 乎 十
垁	bag	 𠂉
垂	bag	 ⸻
垃	bag	 
垄	bag_ops	 尢  
垅	bag_ops	 尢  
垆	bag	⺊  尸
垇	bag	一 凹 十
垈	bag	 
垉	bag	一 勹 十 巳
垊	bag	 民
型	bag	
垌	bag_ops	   ⿵ ⿵
垍	bag	 自
垎	bag	 
垏	bag	 十 
垐	bag	一  
垑	bag	 十 
垒	bag	 厶 厶
垓	bag	  𠃋
垔	bag	  
垕	bag_ops	 𠂆  ⿸ ⿸
垖	bag	㠯  
垗	bag	一 兆 
垘	bag	 十 犬
垙	bag	⺌ 
垚	atomic_override	垚
垛	bag	一  
垜	bag	 木 𠄎
垝	bag	㔾  厂 𠂊
垞	bag	㇀  十 宀
垟	bag	 
垠	bag_ops	 艮 
垡	bag_ops	   
垢	bag_ops	 𠂆 ⿰  ⿸
垣	bag	  
垤	ordered	十  
垥	bag	 
垦	bag_ops	 艮 
垧	bag	 
垨	bag	 宀 寸
垩	bag_ops	  
垪	bag	 
垫	bag	 九 十 扌
垬	bag	  
垭	bag_ops	  
垮	bag	 
垯	bag	 辶
垰	bag	⺊  
垱	bag	⺌  彐
垲	bag	 山 己
垳	bag	 十 彳
垴	bag	㐅  凵 十
垵	bag	 
垶	bag	 十 
垷	bag	 十 目
垸	bag	  十 宀
垹	bag	 十 阝
垺	bag	 
垻	bag	一  
垼	bag	 彳 𠘧
垽	bag	 十 
垾	bag	 
垿	bag	一  十 
埀	bag	③  
埁	bag	㇇   山
埂	ordered	十  日 
埃	bag	
埄	bag	 十 
埅	bag	  
埆	bag	 角
埇	bag	  龴
埈	bag	一  厶 
埉	bag	  
埊	bag	㇇  亅 十 山
埋	bag	  甲
埌	bag	 艮
埍	bag	 月
城	bag	
埏	bag	  廴
埐	bag	  
埑	bag	 十 
埒	bag	  𭕄
埓	bag	④ 
埔	bag	 十 月
埕	bag	  
埖	bag	   十
埗	bag	 
埘	bag_ops	  ⿰ 
埙	bag	 贝
埚	bag	 
埛	bag	一  
埜	bag	 
埝	bag	㇇   
埞	bag	 宀 龰
域	bag_ops	
埠	bag	㠯  十
埡	bag_ops	⑥    ⿳
埢	bag	㔾  
埣	bag	  
埤	bag	 十 白
埥	bag	 
埦	bag	㔾  宀 𠂊
埧	bag	 
埨	bag	 人  
埩	bag	 十 
埪	bag	一  宀 工
埫	bag	⺌ 一  
埬	bag	 東
埭	bag	 隶
埮	bag_ops	  
埯	bag	 乚 人 
埰	bag	 
埱	bag	⺊  
埲	bag	  
埳	bag	一 勹 十 臼 ⸻
埴	bag	 
埵	bag	⑥  十
埶	bag	 九 十 
執	bag	 九 十 
埸	bag	 丿 勹 
培	bag	
基	bag_ops	
埻	bag	  
埼	bag	 
埽	bag	 巾 彐
埾	bag	 
埿	bag	 十 
堀	bag	  十 
堁	bag	 
堂	bag	
堃	bag	  十 
堄	bag	 十 臼
堅	bag	 臣
堆	bag	
堇	bag	口 廿 龶
堈	bag	  山
堉	bag_ops	 月 
堊	bag_ops	⑥   
堋	bag	 
堌	bag	 
堍	bag	⑤  𠂊
堎	bag	  夂
堏	bag	  木 𠃌
堐	bag	   厂
堑	bag	 十 
堒	bag	 
堓	bag	 
堔	bag	  木
堕	bag	 月 
堖	bag	㐅  囗 
堗	bag	一  宀 犬
堘	ordered	十   一
堙	bag_ops	    
堚	bag	 車
堛	bag	 
堜	bag	 柬
堝	bag	  𠃍
堞	bag	一 世 十 木
堟	bag	 彑 𧰨
堠	bag	  
堡	bag_ops	  
堢	bag_ops	   
堣	bag	 禺
堤	bag_ops	 日 龰 
堥	bag	  十 攵 龴
堦	bag	 比 白
堧	bag	  
堨	bag	 勹  𠃊
堩	bag	  忄
堪	bag	⑤  
堫	bag	㐅  凵 十 夂
堬	bag	  月
堭	bag	  十 
堮	bag	  
堯	bag	   
堰	bag	一  
報	bag	  干
堲	bag	⑤ 
堳	bag	 
場	ordered	 一 勹 
堵	bag	 
堶	bag	 工 
堷	bag	 
堸	bag	  虫
堹	bag	 重
堺	bag	  田
堻	bag	 十 
堼	bag	  十 
堽	bag	 止 罒
堾	bag	 
堿	bag	 戊
塀	bag	  尸
塁	bag	  田
塂	bag	  巳
塃	bag	    𠃊
塄	bag	  罒 𠃌
塅	bag	⑤  
塆	bag	④  弓
塇	bag	  宀 日
塈	bag	⑤  旡
塉	bag	 人  月
塊	bag	  
塋	bag	 八 
塌	bag	一   
塍	bag	  月
塎	bag	 宀 谷
塏	bag	 山 豆
塐	bag	②  小 龶
塑	bag	 凵 十 月
塒	bag	 
塓	bag	 八 冖 
塔	bag	
塕	bag	   𠃌
塖	bag	  十 木
塗	bag	 朩 氵
塘	bag	  
塙	bag_ops	 冂   ⿳ ⿵
塚	bag	  𧰨
塛	ordered	十  口  木
塜	bag	  𧰨
塝	bag	 丷  
塞	bag	
塟	bag	  𠂊
塠	bag	㠯  辶
塡	bag	  目 𠃊
塢	bag	⑥  灬
塣	bag	   氵
塤	bag	  目
塥	bag	  
塦	bag	 車 阝
塧	bag	  皿
塨	bag	 丶  小
塩	bag	 
塪	bag	 臼 𭕄
填	bag	 
塬	bag	  白
塭	bag	 日 皿
塮	bag	 身
塯	bag	  
塰	bag	 
塱	bag_ops	⑤  月 
塲	bag	 丿 勹  𠂉
塳	bag	 十 夂 辶
塴	bag	 山 
塵	bag_ops	 十 广 比  ⿰  ⿸ ⿸ ⿻
塶	bag_ops	 十 广 比    ⿸ ⿻
塷	bag	⺊ 㐅   十 
塸	bag	一 匚  
塹	bag	 十 車 𠂆
塺	bag	 
塻	bag_ops	   
塼	bag	⑧ 
塽	bag	  乀 
塾	bag	   子
塿	bag	⑧  女
墀	bag	  尸 牛
墁	bag	 
墂	bag	  示
境	bag	
墄	bag	⺊  小 戊
墅	bag	 一  十 
墆	bag	  巾
墇	bag	 
墈	bag	⑤   匚 
